Source Target Weight
士兵 盛京 4
尚华 秀安 12
尚华 盛京 45
尚华 露宿者 4
尚华 爱抚 4
尚华 卡住 4
尚华 英国 16
尚华 石宇 61
小姐 海英 4
卡住 石宇 5
卡住 尚华 4
石宇 海英 6
石宇 秀安 81
石宇 英国 27
石宇 组长 6
石宇 金常务 13
石宇 露宿者 10
石宇 尚华 61
石宇 石宇的妈妈 5
石宇 金代理 8
石宇 卡住 5
石宇 珍熙 4
石宇 盛京 33
英国 珍熙 29
英国 金常务 8
英国 尚华 16
英国 石宇 27
石宇的妈妈 石宇 5
石宇的妈妈 秀安 8
乘务长 海英 4
乘务长 珍熙 4
乘务长 金常务 5
秀安 金常务 7
秀安 露宿者 15
秀安 尚华 12
秀安 石宇的妈妈 8
秀安 盛京 21
秀安 石宇 81
盛京 秀安 21
盛京 士兵 4
盛京 金常务 7
盛京 露宿者 9
盛京 尚华 45
盛京 爱抚 5
盛京 石宇 33
少女 海英 13
组长 海英 13
组长 石宇 6
金常务 英国 8
金常务 珍熙 6
金常务 露宿者 4
金常务 秀安 7
金常务 列车长 9
金常务 盛京 7
金常务 石宇 13
金常务 乘务长 5
露宿者 秀安 15
露宿者 盛京 9
露宿者 金常务 4
露宿者 石宇 10
露宿者 尚华 4
金代理 石宇 8
队员 珍熙 6
海英 少女 13
海英 小姐 4
海英 组长 13
海英 石宇 6
海英 乘务长 4
爱抚 尚华 4
爱抚 盛京 5
珍熙 英国 29
珍熙 队员 6
珍熙 石宇 4
珍熙 金常务 6
珍熙 乘务长 4
列车长 金常务 9
